Ticker,Open,Date,voltotal,prob_media
ALAB,162.9,2025-12-08,1.82,0.9
ALIT,2.09,2025-12-08,2.66,0.86
CYPH,1.2,2025-12-08,2.49,0.83
DYN,21.59,2025-12-08,3.03,0.82
CRML,10.07,2025-12-08,1.9,0.79
ASPI,6.6,2025-12-08,1.32,0.79
DEFT,1.21,2025-12-08,2.27,0.78
CORZ,17.57,2025-12-08,1.98,0.78
CAPR,26.6,2025-12-08,1.28,0.77
AXTI,11.98,2025-12-08,2.67,0.76
CLSK,13.92,2025-12-08,5.26,0.75
CRDO,179.54,2025-12-08,1.46,0.73
ABAT,4.15,2025-12-08,1.14,0.73
